0,1,2,3
0.0,33.4,0.0,0.0
0.0,0.0,126.1,0.0
126.1,0.0,126.1,32.6
126.1,32.6,124.5,32.6
124.5,32.6,124.4,32.7
124.4,32.7,124.4,32.8
124.4,32.8,124.5,32.9
124.5,32.9,126.1,32.9
126.1,32.9,126.1,33.4
55.1,2.0,55.2,1.9
55.2,1.9,55.2,1.7
55.2,1.7,55.0,1.5
55.0,1.5,54.8,1.7
55.4,2.4,55.5,2.3
55.5,2.3,55.5,2.2
55.5,2.2,55.4,2.1
55.4,2.1,55.4,2.0
55.4,2.0,55.3,1.9
55.3,1.9,55.2,1.9
55.2,1.9,55.1,2.0
55.1,2.0,55.1,2.1
96.1,2.6,96.2,2.7
96.2,2.7,96.3,2.6
96.3,2.6,96.2,2.5
102.6,2.7,102.7,2.8
102.7,2.8,102.8,2.8
102.8,2.8,102.9,2.7
102.9,2.7,102.9,2.6
102.9,2.6,102.8,2.5
102.8,2.5,102.7,2.5
102.7,2.5,102.6,2.6
97.4,2.7,97.5,2.8
97.5,2.8,97.6,2.8
97.6,2.8,97.7,2.7
97.7,2.7,97.6,2.6
97.6,2.6,97.5,2.6
55.7,2.8,55.8,2.7
55.8,2.7,55.8,2.6
55.8,2.6,55.7,2.5
55.7,2.5,55.7,2.4
55.7,2.4,55.6,2.3
55.6,2.3,55.5,2.3
55.5,2.3,55.4,2.4
55.4,2.4,55.5,2.5
55.5,2.5,55.5,2.6
55.7,2.8,55.8,2.9
55.8,2.9,55.9,2.8
55.9,2.8,55.8,2.7
95.5,3.0,95.6,3.1
95.6,3.1,95.7,3.0
95.7,3.0,95.7,2.8
95.7,2.8,95.6,2.7
95.6,2.7,95.5,2.8
56.0,3.3,56.1,3.4
56.1,3.4,56.2,3.4
56.2,3.4,56.3,3.3
56.3,3.3,56.3,3.2
56.3,3.2,56.1,3.0
56.1,3.0,56.1,2.9
56.1,2.9,56.0,2.8
56.0,2.8,55.9,2.8
55.9,2.8,55.8,2.9
55.8,2.9,55.8,3.0
55.8,3.0,56.0,3.2
47.4,4.5,47.5,4.6
47.5,4.6,50.4,4.6
50.4,4.6,50.5,4.5
50.5,4.5,50.4,4.4
50.4,4.4,47.5,4.4
44.9,4.5,45.0,4.6
45.0,4.6,47.3,4.6
47.3,4.6,47.4,4.5
47.4,4.5,47.3,4.4
47.3,4.4,45.0,4.4
40.0,4.5,40.1,4.6
40.1,4.6,44.8,4.6
44.8,4.6,44.9,4.5
44.9,4.5,44.8,4.4
44.8,4.4,40.1,4.4
37.5,4.5,37.6,4.6
37.6,4.6,39.8,4.6
39.8,4.6,39.9,4.5
39.9,4.5,39.8,4.4
39.8,4.4,37.6,4.4
35.0,4.5,35.1,4.6
35.1,4.6,37.4,4.6
37.4,4.6,37.5,4.5
37.5,4.5,37.4,4.4
37.4,4.4,35.1,4.4
30.0,4.5,30.1,4.6
30.1,4.6,34.9,4.6
34.9,4.6,35.0,4.5
35.0,4.5,34.9,4.4
34.9,4.4,30.1,4.4
27.5,4.5,27.6,4.6
27.6,4.6,29.9,4.6
29.9,4.6,30.0,4.5
30.0,4.5,29.9,4.4
29.9,4.4,27.6,4.4
25.1,4.5,25.2,4.6
25.2,4.6,27.4,4.6
27.4,4.6,27.5,4.5
27.5,4.5,27.4,4.4
27.4,4.4,25.2,4.4
22.7,4.5,22.8,4.6
22.8,4.6,25.0,4.6
25.0,4.6,25.1,4.5
25.1,4.5,25.0,4.4
25.0,4.4,22.8,4.4
15.2,4.5,15.3,4.6
15.3,4.6,19.9,4.6
19.9,4.6,20.0,4.5
20.0,4.5,19.9,4.4
19.9,4.4,15.3,4.4
123.3,4.7,123.4,4.8
123.4,4.8,123.5,4.8
123.5,4.8,123.6,4.7
123.6,4.7,123.5,4.6
123.5,4.6,123.4,4.6
122.9,4.7,123.0,4.8
123.0,4.8,123.2,4.8
123.2,4.8,123.3,4.7
123.3,4.7,123.2,4.6
123.2,4.6,123.0,4.6
122.7,4.7,122.8,4.8
122.8,4.8,122.9,4.7
122.9,4.7,122.8,4.6
121.0,4.7,121.1,4.8
121.1,4.8,121.2,4.7
121.2,4.7,121.1,4.6
118.8,4.7,118.9,4.8
118.9,4.8,120.2,4.8
120.2,4.8,120.3,4.7
120.3,4.7,120.2,4.6
120.2,4.6,118.9,4.6
115.9,4.7,116.0,4.8
116.0,4.8,116.9,4.8
116.9,4.8,117.0,4.7
117.0,4.7,116.9,4.6
116.9,4.6,116.0,4.6
114.7,4.7,114.8,4.8
114.8,4.8,115.7,4.8
115.7,4.8,115.8,4.7
115.8,4.7,115.7,4.6
115.7,4.6,114.8,4.6
114.4,4.7,114.5,4.8
114.5,4.8,114.6,4.8
114.6,4.8,114.7,4.7
114.7,4.7,114.6,4.6
114.6,4.6,114.5,4.6
110.2,4.7,110.3,4.8
110.3,4.8,110.8,4.8
110.8,4.8,110.9,4.7
110.9,4.7,110.8,4.6
110.8,4.6,110.3,4.6
107.6,4.7,107.7,4.8
