x1,y1,x2,y2
1119.36,49.27857,1131.8741,49.441566
883.12524,164.2422,910.6252,164.29626
68.10466,49.188477,79.398346,49.404503
84.34006,49.446514,96.90314,49.073994
133.10658,49.18873,145.64612,49.4059
151.86613,49.311115,164.38243,49.226677
200.60478,49.192318,211.89809,49.406296
216.85577,49.391537,229.3917,49.196182
261.8635,49.24694,278.13742,49.41366
296.84665,49.646976,310.6213,49.247643
349.37054,49.300163,360.62885,49.262234
398.116,49.23015,410.62534,49.33218
415.58887,49.45403,428.15405,49.066425
481.85788,49.39326,494.3902,49.219215
588.0808,49.772682,600.6766,49.11952
639.3734,49.285343,651.8751,49.302677
656.8443,49.441338,671.89905,49.05048
704.361,49.165134,716.89233,49.333282
723.1041,49.404137,735.6432,49.18987
766.8541,49.066452,783.15155,49.42824
788.0998,49.42209,804.395,49.080578
836.85657,49.18235,849.3963,49.400818
888.0943,49.45001,903.182,49.05548
921.85657,49.39776,935.641,49.19082
969.3457,49.062458,981.91156,49.45489
986.86255,49.36974,999.3861,49.245716
1034.3688,49.238285,1048.1254,49.315693
1053.102,49.409466,1065.6448,49.17223
1101.8582,49.19712,1114.3944,49.394516
1166.8512,49.087738,1180.6547,49.429775
1185.5958,49.42578,1198.1492,49.121
264.37558,164.21878,284.3753,164.29424
923.0747,164.54066,934.35846,164.01756
989.3938,201.8738,989.4745,286.8749
939.4527,191.86293,939.71423,220.64464
939.38135,223.12129,939.53656,275.6282
645.625,164.09297,679.3752,164.08972
414.63242,14.3617115,414.4323,48.132748
1019.87115,13.103613,1019.4105,29.340544
314.66446,16.863201,314.5451,51.87558
1019.56195,33.133564,1019.68274,48.13259
549.24915,38.089848,549.68115,51.904514
170.24802,70.57683,169.09619,139.37033
170.62941,163.95241,201.876,164.27875
220.62474,164.26733,259.3745,164.17296
413.1253,164.09366,448.12524,164.13005
800.62573,164.07205,833.12555,164.15164
941.84705,164.43764,959.42554,164.02423
983.1227,164.11665,1016.8754,164.1951
1041.8585,163.9805,1058.1266,164.2934
1081.873,164.20644,1116.8776,164.27153
349.374,163.9951,385.6254,164.03717
530.5648,49.281616,544.4074,50.00185
889.7191,200.62373,889.59686,288.1253
1203.1682,75.26007,1180.6174,74.655815
344.0042,131.95567,344.87723,81.86197
499.16898,218.14299,499.6219,191.85771
499.05692,254.39656,499.83875,220.60681
93.2429,76.36421,64.287926,74.42547
644.791,70.52866,644.03107,96.82894
1149.6001,138.1298,1149.4066,96.874855
471.83325,165.08925,481.77283,164.31444
249.17139,14.38134,249.56143,26.908115
549.37274,19.014734,581.87573,19.097624
619.07983,48.12535,619.03986,14.373917
183.52048,14.377109,183.34048,48.132812
249.40334,31.865181,249.27257,48.134224
878.6954,78.178406,877.99664,69.28686
280.6134,86.87017,280.44586,130.6291
903.6206,128.15916,902.0877,94.30876
1068.4155,154.38394,1067.6929,76.87903
253.45906,189.33658,253.09041,198.12355
298.2547,276.8754,298.2249,191.87497
248.30023,198.18454,247.80556,189.25421
986.07336,198.24754,984.6808,189.13719
611.87585,198.0966,638.13995,198.86075
638.17834,245.63063,638.36725,201.87065
347.97363,286.87488,348.03897,200.62494
637.0013,284.52173,638.82294,251.91399
1169.7228,145.62708,1169.6483,158.12663
1049.0201,46.87502,1049.0208,14.374992
83.46502,13.117807,83.67702,23.139765
1147.7727,48.121628,1148.1318,10.613099
80.37918,48.125877,80.25424,13.126324
494.3791,69.62472,463.117,70.1376
1055.6226,69.6511,1038.1239,69.4992
598.11774,73.477295,621.8834,73.967995
449.06717,163.12456,449.197,71.87297
738.14343,158.1254,738.16864,76.874626
311.87445,155.21016,335.6261,155.17796
490.6245,155.6625,480.62613,155.5358
850.6242,155.17229,870.6263,155.13829
914.3786,189.74454,901.8737,189.69301
934.3754,189.67966,919.3754,189.70004
738.08966,276.87497,738.1754,191.8738
1138.2711,193.12276,1138.0979,278.12494
1038.5564,191.87498,1038.5597,276.87497
401.2845,76.874916,401.2726,159.37509
401.34866,191.87396,401.18466,275.62854
460.6366,49.648045,475.62622,49.533787
397.16977,159.37888,397.68005,120.60269
334.3592,158.7267,308.1273,158.03781
857.01935,13.945801,867.1458,12.164816
685.1916,48.124496,685.23236,13.123086
688.55096,13.125108,688.54205,48.125107
120.57115,79.37156,119.69116,93.1452
234.3957,190.00185,204.38716,190.993
863.1705,158.30704,844.34814,157.50568
10.899355,18.580534,24.636744,48.00279
179.72539,48.125782,179.6982,16.87363
84.24542,24.372646,83.813614,48.137512
